ID,Question,OptionA,OptionB,OptionC,OptionD,RightAns,Topic,Extra,
1,Is the Sun a star or planet?,Star,Sun,None,Both,Star,Space,Bonus,
2,Which planet of these is Saturn?,pluto.jpg,earth.jpg,jupiter.jpg,saturn.jpg,saturn.jpg,Space,Image,
3,Which one of these is not a planet?,Earth,Pluto,Neptune,Mars,Pluto,Space,None,
4,Which is the closest planet to the sun?,Mercury,Alpha Centauri A,Uranus,Venus,Mercury,Space,None,
5,What has a gravitational pull so strong that even light cannot escape it?,Sun,Nebulas,Black Holes,Asteroids,Black Holes,Space,None,
6,What year was the first moon landing?  ,2012,1492,1969,1976,1969,Space,None,
7,Which country sent the first man into space?  ,Soviet Union,USA,Wales,China,Soviet Union,Space,None,
8,How many moons does mars have?,2,0,6,1,2,Space,None,
9,What does the ISS stand for?,International Space Shuttle,International Space Station,International Satellite Society,Infinite Space Simulation,International Space Station,Space,None,
10,How many people have stood on the moon?,5,10,2,12,12,Space,None,
11,Who is the owner of SpaceX?,Tom Jones,Gareth Bale,Elon Musk,Lance Armstrong,Elon Musk,Space,None,
12,What term is given to the study of Space?,Astronomy,Astrology,Anatomy,Spaceology,Astronomy,Space,None,
13,What shape is the Earth?,Sphere,Flat,Rugby Ball,Square,Sphere,Space,None,
14,What is the surname of Mario and Luigi?,Delavichi,Jones,Mario,They don't have one,They don't have one,Game,Bonus,
15,Which of these characters is Bowser?,wario.jpg,peach.jpg,kirby.jpg,bowser.jpg,bowser.jpg,Game,Image,
16,Who is the main protagonist in The Legend of Zelda series?,Zelda,Donkey Kong,Will Smith,Link,Link,Game,None,
17,Pick the most appropriate answer: ___ the Hedgehog,Ted,Luigi,Jeff,Sonic,Sonic,Game,None,
18,Who is Mario's Brother?,Luigi,Fernando Alonso,Mussolini,Wario,Luigi,Game,None,
19,Which of these pokemon has a species of Mouse?,Pikachu,Charmander,Squirtle,Mouseyman,Pikachu,Game,None,
20,What is the name of the red ghost from PACMAN?,Mario,Blinky,Blerky,Channing Tatum,Blinky,Game,None,
21,Which English Striker appeared on the cover of FIFA 10?,Shinji Kagawa,Mo Eisa,Aaron Ramsey,Wayne Rooney,Wayne Rooney,Game,None,
22,What colour is Peach's dress?,White and Gold,Blue and Black,Pink and White,Peach,Pink and White,Game,None,
